year,baseline,State,MN,combined,MN1,combined1,population,urbanPop
7,4.666864393,Dadra and Nagar Haveli,15.06124418,22.59186627,19.72810857,27.25873066,343709,160580
8,4.825932213,Dadra and Nagar Haveli,15.57459941,23.36189912,20.40053163,28.18783133,343709,160580
9,4.986555679,Dadra and Nagar Haveli,16.09297514,24.13946272,21.07953082,29.1260184,343709,160580
10,5.148734791,Dadra and Nagar Haveli,16.61637137,24.92455706,21.76510616,30.07329185,343709,160580
11,5.31246955,Dadra and Nagar Haveli,17.14478809,25.71718214,22.45725764,31.02965169,343709,160580
12,5.477759955,Dadra and Nagar Haveli,17.67822531,26.51733797,23.15598527,31.99509792,343709,160580
13,5.644606007,Dadra and Nagar Haveli,18.21668302,27.32502453,23.86128903,32.96963054,343709,160580
14,5.813007705,Dadra and Nagar Haveli,18.76016123,28.14024185,24.57316894,33.95324955,343709,160580
1,1.855959529,Lakshadweep,1.976596899,2.964895348,3.832556428,4.820854878,64473,50334
2,1.918700673,Lakshadweep,4.148754136,6.223131204,6.067454809,8.141831877,64473,50334
3,1.981859203,Lakshadweep,6.396000157,9.594000235,8.37785936,11.57585944,64473,50334
4,2.045435122,Lakshadweep,6.601176985,9.901765478,8.646612108,11.9472006,64473,50334
5,2.109428429,Lakshadweep,6.807700838,10.21155126,8.917129267,12.32097969,64473,50334
6,1.855959529,Lakshadweep,5.989687572,8.984531358,7.845647101,10.84049089,64473,50334
7,2.187825615,Lakshadweep,7.06070994,10.59106491,9.248535556,12.77889053,64473,50334
8,2.227370154,Lakshadweep,7.188330952,10.78249643,9.415701107,13.00986658,64473,50334
9,2.267145324,Lakshadweep,7.316696271,10.97504441,9.583841595,13.24218973,64473,50334
10,2.307151123,Lakshadweep,7.445805898,11.16870885,9.752957021,13.47585997,64473,50334
11,2.347387553,Lakshadweep,7.575659831,11.36348975,9.923047384,13.7108773,64473,50334
12,2.387854614,Lakshadweep,7.706258072,11.55938711,10.09411269,13.94724172,64473,50334
13,2.428552305,Lakshadweep,7.83760062,11.75640093,10.26615292,14.18495323,64473,50334
14,2.469480626,Lakshadweep,7.969687475,11.95453121,10.4391681,14.42401184,64473,50334
